Time,Open,High,Low,Latest,Change
04/25/25,24.6596,24.6596,24.6596,24.6596,0.1523
04/24/25,24.5073,24.5073,24.5073,24.5073,0.4094
04/23/25,24.0979,24.0979,24.0979,24.0979,0.4666
04/22/25,23.6313,23.6313,23.6313,23.6313,0.5903
04/21/25,23.041,23.041,23.041,23.041,-0.5713
04/17/25,23.6123,23.6123,23.6123,23.6123,0.0286
04/16/25,23.5837,23.5837,23.5837,23.5837,-0.7046
04/15/25,24.2883,24.2883,24.2883,24.2883,0.0667
04/14/25,24.2216,24.2216,24.2216,24.2216,0.1904
04/11/25,24.0312,24.0312,24.0312,24.0312,0.3047
04/10/25,23.7265,23.7265,23.7265,23.7265,-1.0474
04/09/25,24.7739,24.7739,24.7739,24.7739,1.9614
04/08/25,22.8125,22.8125,22.8125,22.8125,-0.3523
04/07/25,23.1648,23.1648,23.1648,23.1648,-0.1523
04/04/25,23.3171,23.3171,23.3171,23.3171,-1.1426
04/03/25,24.4597,24.4597,24.4597,24.4597,-1.609
04/02/25,26.0687,26.0687,26.0687,26.0687,0.219
04/01/25,25.8497,25.8497,25.8497,25.8497,-0.0191
03/31/25,25.8688,25.8688,25.8688,25.8688,0.2952
03/28/25,25.5736,25.5736,25.5736,25.5736,-0.5332
03/27/25,26.1068,26.1068,26.1068,26.1068,-0.0095
03/26/25,26.1163,26.1163,26.1163,26.1163,-0.2476
03/25/25,26.3639,26.3639,26.3639,26.3639,0.0191
03/24/25,26.3448,26.3448,26.3448,26.3448,0.457
03/21/25,25.8878,25.8878,25.8878,25.8878,0.0952
03/20/25,25.7926,25.7926,25.7926,25.7926,-0.0952
03/19/25,25.8878,25.8878,25.8878,25.8878,0.3427
03/18/25,25.5451,25.5451,25.5451,25.5451,-0.3046
03/17/25,25.8497,25.8497,25.8497,25.8497,0.0095
03/14/25,25.8402,25.8402,25.8402,25.8402,0.4189
03/13/25,25.4213,25.4213,25.4213,25.4213,-0.3142
03/12/25,25.7355,25.7355,25.7355,25.7355,-0.019
03/11/25,25.7545,25.7545,25.7545,25.7545,-0.3237
03/10/25,26.0782,26.0782,26.0782,26.0782,-0.5999
03/07/25,26.6781,26.6781,26.6781,26.6781,0.2095
03/06/25,26.4686,26.4686,26.4686,26.4686,-0.5046
03/05/25,26.9732,26.9732,26.9732,26.9732,0.0666
03/04/25,26.9066,26.9066,26.9066,26.9066,-0.3999
03/03/25,27.3065,27.3065,27.3065,27.3065,-0.3808
02/28/25,27.6873,27.6873,27.6873,27.6873,0.4951
02/27/25,27.1922,27.1922,27.1922,27.1922,-0.1714
02/26/25,27.3636,27.3636,27.3636,27.3636,-0.019
02/25/25,27.3826,27.3826,27.3826,27.3826,0.0761
02/24/25,27.3065,27.3065,27.3065,27.3065,0.0096
02/21/25,27.2969,27.2969,27.2969,27.2969,-0.3523
02/20/25,27.6492,27.6492,27.6492,27.6492,-0.2666
02/19/25,27.9158,27.9158,27.9158,27.9158,0.1999
02/18/25,27.7159,27.7159,27.7159,27.7159,0.0762
02/14/25,27.6397,27.6397,27.6397,27.6397,-0.0476
02/13/25,27.6873,27.6873,27.6873,27.6873,0.1047
02/12/25,27.5826,27.5826,27.5826,27.5826,-0.0666
02/11/25,27.6492,27.6492,27.6492,27.6492,-0.0571
02/10/25,27.7063,27.7063,27.7063,27.7063,0.1428
02/07/25,27.5635,27.5635,27.5635,27.5635,-0.2857
02/06/25,27.8492,27.8492,27.8492,27.8492,0.0286
02/05/25,27.8206,27.8206,27.8206,27.8206,0.019
02/04/25,27.8016,27.8016,27.8016,27.8016,-0.2856
02/03/25,28.0872,28.0872,28.0872,28.0872,-0.1523
01/31/25,28.2395,28.2395,28.2395,28.2395,-0.1714
01/30/25,28.4109,28.4109,28.4109,28.4109,0.2856
01/29/25,28.1253,28.1253,28.1253,28.1253,-0.0095
01/28/25,28.1348,28.1348,28.1348,28.1348,0.2952
01/27/25,27.8396,27.8396,27.8396,27.8396,-0.1714
01/24/25,28.011,28.011,28.011,28.011,-0.1238
01/23/25,28.1348,28.1348,28.1348,28.1348,0.0286
01/22/25,28.1062,28.1062,28.1062,28.1062,0.2094
01/21/25,27.8968,27.8968,27.8968,27.8968,0.2095
01/20/25,27.6873,27.6873,27.6873,27.6873,-0.3047
01/17/25,27.992,27.992,27.992,27.992,0.3523
01/16/25,27.6397,27.6397,27.6397,27.6397,0.0762
01/15/25,27.5635,27.5635,27.5635,27.5635,0.3618
01/14/25,27.2017,27.2017,27.2017,27.2017,0.0095
01/13/25,27.1922,27.1922,27.1922,27.1922,-0.0571
01/10/25,27.2493,27.2493,27.2493,27.2493,-0.3714
01/09/25,27.6207,27.6207,27.6207,27.6207,0.0096
01/08/25,27.6111,27.6111,27.6111,27.6111,0.1142
01/07/25,27.4969,27.4969,27.4969,27.4969,-0.2285
01/06/25,27.7254,27.7254,27.7254,27.7254,-0.0666
01/03/25,27.792,27.792,27.792,27.792,0.3618
01/02/25,27.4302,27.4302,27.4302,27.4302,-0.0381
12/31/24,27.4683,27.4683,27.4683,27.4683,-0.0667
"Downloaded data provided by Barchart as of 01-19-2026 08:25pm CST"
