Time,Open,High,Low,Latest,Change
05/30/25,21.1033,21.1033,21.1033,21.1033,-0.203
05/29/25,21.3063,21.3063,21.3063,21.3063,0.0816
05/28/25,21.2247,21.2247,21.2247,21.2247,-0.2517
05/27/25,21.4764,21.4764,21.4764,21.4764,0.2
05/26/25,21.2764,21.2764,21.2764,21.2764,0.1731
05/23/25,21.1033,21.1033,21.1033,21.1033,-0.2716
05/22/25,21.3749,21.3749,21.3749,21.3749,-0.19
05/21/25,21.5649,21.5649,21.5649,21.5649,-0.1462
05/20/25,21.7111,21.7111,21.7111,21.7111,0.1552
05/16/25,21.5559,21.5559,21.5559,21.5559,0.0835
05/15/25,21.4724,21.4724,21.4724,21.4724,0.1363
05/14/25,21.3361,21.3361,21.3361,21.3361,-0.1074
05/13/25,21.4435,21.4435,21.4435,21.4435,0.2099
05/12/25,21.2336,21.2336,21.2336,21.2336,0.2297
05/09/25,21.0039,21.0039,21.0039,21.0039,0.1264
05/08/25,20.8775,20.8775,20.8775,20.8775,0.0208
05/07/25,20.8567,20.8567,20.8567,20.8567,-0.0348
05/06/25,20.8915,20.8915,20.8915,20.8915,-0.1144
05/05/25,21.0059,21.0059,21.0059,21.0059,-0.0089
05/02/25,21.0148,21.0148,21.0148,21.0148,0.3601
05/01/25,20.6547,20.6547,20.6547,20.6547,0.1203
04/30/25,20.5344,20.5344,20.5344,20.5344,0.0587
04/29/25,20.4757,20.4757,20.4757,20.4757,0.0557
04/28/25,20.42,20.42,20.42,20.42,0.0826
04/25/25,20.3374,20.3374,20.3374,20.3374,-0.0488
04/24/25,20.3862,20.3862,20.3862,20.3862,0.1522
04/23/25,20.234,20.234,20.234,20.234,0.2825
04/22/25,19.9515,19.9515,19.9515,19.9515,0.003
04/21/25,19.9485,19.9485,19.9485,19.9485,0.1383
04/17/25,19.8102,19.8102,19.8102,19.8102,-0.0945
04/16/25,19.9047,19.9047,19.9047,19.9047,-0.2089
04/15/25,20.1136,20.1136,20.1136,20.1136,0.1621
04/14/25,19.9515,19.9515,19.9515,19.9515,0.2835
04/11/25,19.668,19.668,19.668,19.668,0.1412
04/10/25,19.5268,19.5268,19.5268,19.5268,0.7162
04/09/25,18.8106,18.8106,18.8106,18.8106,-0.4486
04/08/25,19.2592,19.2592,19.2592,19.2592,0.5202
04/07/25,18.739,18.739,18.739,18.739,-0.8285
04/04/25,19.5675,19.5675,19.5675,19.5675,-0.6824
